№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
246|4292|13-45167155|м. Вінниця, вул. Констянтина Василенка, 16|Вінниця|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Вінницька||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Фабрика Поділля|1
247|4293|13-45167166|с. Ювілейне, вул. Бабенкa, 25|Ювілейне|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|г/м Епіцентр|1
248|4294|13-46071669|м. Ужгород, вул. Баб'яка, 7/1|Ужгород|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|г/м Епіцентр|1
249|4295|13-45167170|м. Енергодар, вул. Козацька, 19|Енергодар|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Запорізька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|ТЦ Дар|1
250|4296|5300814059|м. Київ, пр. Героїв Сталінграду, 25-Б (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська|06.11.2015|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №38|1
251|4297|5300357154|м. Львів, вул. Шевченка, 358А|Львів|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Львівська|24.09.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Сільпо|1
252|4298|5300200630|м. Тернопіль, вул. Руська, 21|Тернопіль|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Тернопільська|21.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Будинок побуту Роксолана|1
253|4299|5300651906|м. Харків, пр. Московський, 295|Харків|FLM-7;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Харківська|06.06.2012|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТЦ Клас|1
254|4300|5300264985|м. Ужгород, вул. Минайська, 71|Ужгород|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Лікарня|1
255|4301|5300200613|м. Чернігів, вул. Щорса, 66|Чернігів|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Чернігівська|06.07.2011|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ЗАТ Чексіл|1
256|4302|13-51991097|м. Київ, вул. Братиславська, 11 (3-й АТМ)|Київ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|г/м Епіцентр|1
257|4304|5300200035|м. Київ, вул. Миколи Амосова, 12 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 3000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 4|БЦ Горизонт-Парк|0
258|4305|5300653584|м. Дніпро, вул. Княгині Ольги, 10/14|Дніпро|FLM-5;SLM-5||ALFA|ProCash 8050|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Дніпромлин|1
259|4306|13-49011905|смт. Жденієво, вул. Шевченка, 257|Жденієво|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ СР|PRINTEC 8|PRINTEC 12|Готель Рейкарц Карпати|1
