№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
100|4100|5300722283|м. Київ, вул. Солом'янська, 23А (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Залізничне|1
101|4102|5300338019|м. Харків, вул. вул. Валентинівська, 21|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Новосалтівське|1
102|4103|5300232567|м. Дніпро, пр. Дмитра Яворницького, 109А (2-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Приозерне|1
103|4107|13-45179871|м. Чорноморськ, вул. Данченка, 9/80Н (2-й АТМ)|Чорноморськ|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|063 899 09 86 Дмитро Вікторович|Одеська||0|0|0|1|УСБ ВТ,ПТ|PRINTEC 8|PRINTEC 12|Відділення Чорноморське|1
104|4110|5300298430|м. Харків, вул. Молочна, 18|Харків|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТЦ Класс|1
105|4111|13-45167162|м. Червона Слобода, вул. Берегова, 20|Червона Слобода|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Черкаська||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Верес|1
106|4112|5300813682|м. Київ, вул. Данила Щербаківського, 42 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №7|1
107|4113|13-45179961|м. Харків, пр. Науки, 12 (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|050 976 36 13 Анна|Харківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Харківське №28|1
108|4114|5300199624|м. Харків, Полтавський шлях, 56|Харків|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська|13.10.2013|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Центральновокзальне|1
109|4115|5300232453|м. Суми, вул. Сумсько-Київських дивізій, 22 (1-й АТМ)|Суми|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Сумська|28.04.2012|0|0|0|1|Укргаз|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Зарічне|1
110|4116|13-45179896|м. Одеса, вул. Середня, 83А (2-й АТМ)|Одеса|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Одеська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Балківське|1
111|4117|13-45179912|м. Житомир, вул. Перемоги, 7А (3-й АТМ)|Житомир|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|067 511 78 48|Житомирська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Житомирське|1
112|4118|5300256976|м. Бахмут, вул. Незалежності, 37 (1-й АТМ)|Бахмут|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Донецька|21.07.2011|0|0|0|1|Альфа ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бахмутське|1
113|4119|5300653232|м. Кам'янське, пр. Свободи, 2 (2-й АТМ)|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 8050|WINCOR||Дніпропетровська|24.12.2012|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Дніпрокам'янське|1
114|4120|5300256876|м. Луцьк, вул. Шопена, 22А|Луцьк|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Волинська|14.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Волинське|1
115|4121|5300264951|м. Чернігів, вул. Горького, 17 (2-й АТМ)|Чернігів|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR||Чернігівська|13.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернігівське|1
116|4122|13-45181304|м. Харків, вул. Гоголя, 10 (3-й АТМ)|Харків|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Харківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Харківське №11 А-Клуб|1
117|4123|5300280550|м. Полтава, вул. В'ячеслава Чорновола, 19 (2-й АТМ)|Полтава|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Полтавська|10.10.2013|0|0|0|1|Альфа|Реноме-смарт 3|Реноме-смарт 6|Відділення Полтавське|1
118|4126|5300653198|м. Мелітополь, вул. Петра Дорошенка, 55|Запоріжжя|FLM-5;SLM-5||ALFA|ProCash 8050|WINCOR|Link: Радіоконект|Запорізька|02.11.2012|0|0|1|1|УСБ ВТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Глам|1
119|4127|13-45179879|м. Маріуполь, вул. Грецька, 43 (2-й АТМ)|Маріуполь|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Донецька||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Маріупольське №2|1
120|4128|5300348022|м. Тернівка, вул. Шахтарська, 1А|Тернівка|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Дніпропетровська|07.07.2011|0|0|0|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Тернівське|1
121|4129|5300256846|м. Кам'янець-Подільський, вул. Соборна, 12/1|Кам'янець-Подільський|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Хмельницька|15.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Соборне|1
122|4130|13-45179873|м. Харків, вул. Отакара Яроша, 26 (2-й АТМ)|Харків|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Харківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Павлівське|1
123|4131|5300267601|м. Харків, пр. Науки, 45/3|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська|06.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №20|1
124|4133|13-45179946|м. Запоріжжя, вул. Добролюбова, 9 (2-й АТМ)|Запоріжжя|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Запорізька||0|0|0|1|УСБ Запоріжжя|PRINTEC 4|PRINTEC 8|Відділення Академічне|1
125|4135|13-45179922|м. Костянтинівка, пр. Ломоносова, 99 (2-й АТМ)|Костянтинівка|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Донецька||0|0|0|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Відділення Костянтинівське|1
126|4136|5300208742|м. Дніпро, вул. Мечнікова, 11 (1-й АТМ)|Дніпро|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Дніпропетровська|06.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №9|1
127|4137|5300263530|м. Харків, пр. Московський, 196А (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Фрунзенське|1
128|4138|5300197143|м. Полтава, вул.Соборності, 71 (1-й АТМ)|Полтава|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Полтавська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Павленківське|1
129|4140|13-52671501|м. Одеса, вул. Генерала Бочарова, 40 (2-й АТМ)|Одеса|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Одеська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Одеське №13|1
130|4142|5300267593|м. Запоріжжя, вул. Олександрівська, 35 (1-й АТМ)|Запоріжжя|Link:FLM-7;SLM-5 ACCESS Відсутній доступ||ALFA|ProCash 2100|WINCOR||Запорізька|08.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Запорізьке|1
131|4143|5300205770|м. Виноградів, вул. Миру, 18/1|Виноградів|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Закарпатська|04.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Виноградівське|1
132|4144|13-45181327|м. Краматорськ, вул. Ярослава Мудрого, 48Г (3-й АТМ)|Краматорськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Донецька||0|0|0|1|УСБ|PRINTEC 8|PRINTEC 12|Відділення Краматорське №1|1
133|4145|5300263151|м. Дніпро, пр. Дмитра Яворницького, 109А (1-й АТМ)|Дніпро|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Дніпропетровська|06.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Приозерне|1
134|4146|5300337485|м. Бершадь, вул. Леніна, 1|Бершадь|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Вінницька|06.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бершадьське|1
135|4147|13-45181320|м. Чернігів, вул. Івана Мазепи, 33|Чернігів|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Чернігівська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин Харків-Електро|1
136|4149|5300347881|м. Харків, вул. Отакара Яроша, 26 (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Павлівське|1
137|4150|13-45179918|м. Житомир, вул. Московська, 24Б|Житомир|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Житомирська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин Біла Ворона|1
138|4151|5300652445|м. Ужгород, вул. Коцюбинського, 2А|Ужгород|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Закарпатська|03.10.2018|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Прокуратура|1
139|4152|5300259741|м. Буча, вул. Енергетиків, 8 (2-й АТМ)|Буча|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Бучанське|1
140|4153|5300232599|м. Фастів, вул. Соборна, 10 (1-й АТМ)|Фастів|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Київська||0|0|0|1|УСБ СР|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Фастівське|1
141|4154|5300257077|м. Кам'янське, пр. Свободи, 2 (1-й АТМ)|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Дніпропетровська|12.07.2011|0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Дніпрокам'янське|1
142|4155|13-45179967|м. Дружківка, вул. Соборна, 24|Дружківка|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Донецька||0|0|0|1|Альфа ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Відділення Дружківське|1
143|4157|5300255330|м. Одеса,  вул. Семена Палія, 127/3|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Одеська|25.02.2019|0|0|0|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТОВ ВВЮГ ТЦ Волна, 14 пов.|1
144|4158|13-54100608|м. Київ, вул. Саксаганського, 14 (3-й АТМ)|Київ|Тестовий АТМ|APPEAL. 07.03.2019. Відсутня індикація Х4. Ведуться ремонтні роботи на рівні 3-ої лінії|ALFA|Selfserv 6683|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Київське № 44|1
145|4161|13-45181316|м. Коростень, вул. Грушевського, 42|Коростень|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR|096 433 50 45 Рабійчук Юлія|Житомирська||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Коростенське|1
146|4162|13-45179927|м. Запоріжжя, вул. Олександрівська, 35 (2-й АТМ)|Запоріжжя|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR||Запорізька||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Запорізьке|1
147|4163|13-45179924|м. Кропивницький, вул. Дворцова, 25 (2-й АТМ)|Кропивницький|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Кіровоградська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Кропивницьке №1|1
148|4164|5300255383|м. Дрогобич, вул. Шевченка, 26|Дрогобич|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Львівська|04.07.2011|0|0|0|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Дрогобицьке|1
149|4166|5300237141|м. Полтава, вул.Соборності, 71 (2-й АТМ)|Полтава|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR||Полтавська|25.04.2014|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Павленківське|1
150|4169|5300336486|м. Київ, вул. Богдана Хмельницького, 17/52 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Леонардо, 1 пов.|0
151|4170|13-48383552|м. Херсон, Острівське шосе, 5|Херсон|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Херсонська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ЗАТ Южмормонтаж|1
152|4171|5300263447|м. Запоріжжя, вул. Добролюбова, 9 (1-й АТМ)|Запоріжжя|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Запорізька|21.07.2014|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Академічне|1
153|4175|5300347646|м. Одеса, вул. Юрія Олеші, 6 (2-й АТМ)|Одеса|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Одеська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №9|1
154|4177|5300499904|м. Покровськ, пр. Миру, 32 (1-й АТМ)|Покровськ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Донецька|08.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Покровське|1
155|4178|5300263557|м. Харків, пр. Ювілейний, 57А (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №12|1
156|4179|13-45179920|м. Краматорськ, вул. Сіверська, 56|Краматорськ|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Branch № 239|1
157|4180|5300338235|м. Суми, вул. Харківська, 38|Суми|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська|06.07.2011|0|0|1|1|Укргаз|Реноме-Смарт 3|Реноме-Смарт 6|Магазин Креатив|1
